iter	Passed	Remaining
0	103	103406
1	184	92062
2	310	103281
3	371	92411
4	392	78100
5	478	79225
6	513	72862
7	555	68893
8	636	70095
9	665	65877
10	744	66977
11	823	67799
12	874	66383
13	942	66354
14	1034	67909
15	1085	66761
16	1162	67203
17	1244	67912
18	1333	68873
19	1367	67026
20	1449	67586
21	1531	68068
22	1607	68271
23	1689	68710
24	1780	69421
25	1826	68412
26	1893	68226
27	1977	68634
28	2063	69078
29	2139	69189
30	2224	69531
31	2313	69972
32	2409	70592
33	2483	70553
34	2516	69386
35	2605	69764
36	2685	69892
37	2762	69932
38	2845	70121
39	2921	70106
40	3003	70258
41	3088	70444
42	3160	70337
43	3244	70485
44	3324	70563
45	3420	70946
46	3485	70665
47	3577	70957
48	3658	71000
49	3752	71300
50	3800	70725
51	3886	70851
52	3934	70293
53	4027	70558
54	4101	70469
55	4186	70576
56	4281	70828
57	4314	70067
58	4357	69493
59	4477	70143
60	4571	70365
61	4656	70451
62	4729	70335
63	4817	70449
64	4916	70719
65	4949	70039
66	5023	69949
67	5056	69299
68	5180	69903
69	5250	69759
70	5330	69746
71	5404	69663
72	5535	70293
73	5633	70498
74	5735	70742
75	5818	70736
76	5902	70749
77	5995	70863
78	6084	70937
79	6162	70863
80	6246	70873
81	6321	70766
82	6404	70761
83	6474	70599
84	6607	71122
85	6652	70705
86	6728	70611
87	6817	70650
88	6898	70613
89	7001	70789
90	7082	70749
91	7167	70742
92	7247	70678
93	7323	70589
94	7389	70395
95	7477	70416
96	7555	70334
97	7652	70437
98	7734	70391
99	7824	70422
100	7902	70344
101	7974	70205
102	8037	69998
103	8114	69910
104	8197	69876
105	8284	69869
106	8363	69803
107	8435	69668
108	8512	69580
109	8594	69539
110	8684	69550
111	8764	69492
112	8844	69422
113	8925	69367
114	8991	69196
115	9068	69106
116	9152	69073
117	9220	68920
118	9298	68840
119	9380	68792
120	9470	68796
121	9561	68808
122	9645	68772
123	9745	68845
124	9825	68775
125	9900	68677
126	9948	68387
127	10051	68477
128	10146	68505
129	10235	68497
130	10309	68385
131	10415	68490
132	10488	68371
133	10572	68327
134	10657	68284
135	10764	68384
136	10846	68325
137	10924	68240
138	11000	68141
139	11092	68136
140	11169	68048
141	11251	67986
142	11329	67896
143	11407	67810
144	11469	67631
145	11552	67573
146	11645	67578
147	11721	67477
148	11852	67692
149	11934	67627
150	12016	67563
151	12097	67493
152	12173	67389
153	12236	67221
154	12318	67157
155	12401	67095
156	12487	67048
157	12572	66998
158	12655	66941
159	12747	66926
160	12824	66830
161	12910	66783
162	12999	66753
163	13085	66703
164	13172	66659
165	13265	66648
166	13349	66587
167	13431	66518
168	13510	66431
169	13596	66381
170	13680	66322
171	13761	66246
172	13837	66147
173	13924	66102
174	13988	65945
175	14063	65843
176	14144	65767
177	14222	65679
178	14301	65593
179	14376	65491
180	14456	65415
181	14539	65349
182	14590	65136
183	14681	65109
184	14762	65033
185	14845	64967
186	14949	64996
187	15045	64982
188	15129	64919
189	15204	64817
190	15283	64734
191	15366	64667
192	15443	64575
193	15531	64527
194	15618	64477
195	15691	64366
196	15777	64309
197	15862	64252
198	15942	64169
199	16083	64334
200	16163	64250
201	16243	64169
202	16322	64082
203	16400	63993
204	16482	63920
205	16569	63864
206	16660	63823
207	16746	63764
208	16829	63694
209	16913	63627
210	17001	63572
211	17090	63525
212	17171	63446
213	17258	63388
214	17367	63412
215	17414	63207
216	17489	63107
217	17564	63008
218	17646	62930
219	17738	62891
220	17814	62794
221	17893	62706
222	17964	62594
223	18014	62408
224	18114	62395
225	18196	62318
226	18299	62314
227	18386	62255
228	18489	62251
229	18569	62169
230	18653	62097
231	18747	62062
232	18827	61977
233	18910	61902
234	18991	61824
235	19075	61751
236	19174	61731
237	19260	61665
238	19343	61590
239	19436	61548
240	19523	61485
241	19605	61409
242	19693	61351
243	19777	61279
244	19865	61217
245	19939	61116
246	20029	61061
247	20110	60980
248	20203	60935
249	20286	60858
250	20371	60789
251	20450	60701
252	20534	60630
253	20618	60557
254	20716	60525
255	20805	60466
256	20883	60374
257	20914	60150
258	20997	60075
259	21078	59993
260	21160	59914
261	21288	59965
262	21368	59881
263	21449	59799
264	21523	59696
265	21611	59633
266	21687	59538
267	21771	59465
268	21852	59384
269	21937	59312
270	21988	59150
271	22079	59096
272	22170	59041
273	22259	58979
274	22349	58922
275	22433	58846
276	22520	58782
277	22608	58718
278	22700	58664
279	22772	58557
280	22855	58479
281	22934	58392
282	23018	58319
283	23102	58244
284	23191	58183
285	23293	58151
286	23394	58118
287	23472	58029
288	23571	57991
289	23652	57908
290	23762	57895
291	23838	57800
292	23924	57728
293	24005	57645
294	24094	57582
295	24176	57499
296	24250	57400
297	24334	57325
298	24430	57276
299	24514	57199
300	24601	57130
301	24688	57062
302	24775	56991
303	24861	56920
304	24945	56842
305	25029	56765
306	25115	56694
307	25192	56601
308	25289	56554
309	25379	56490
310	25483	56456
311	25578	56404
312	25652	56304
313	25737	56230
314	25822	56154
315	25906	56076
316	25989	55995
317	26067	55904
318	26164	55855
319	26245	55772
320	26334	55704
321	26421	55631
322	26552	55652
323	26634	55570
324	26714	55484
325	26796	55401
326	26884	55330
327	26956	55228
328	27044	55157
329	27138	55100
330	27231	55038
331	27314	54958
332	27409	54901
333	27485	54806
334	27576	54741
335	27660	54661
336	27746	54586
337	27830	54507
338	27912	54424
339	27994	54342
340	28082	54270
341	28169	54197
342	28246	54103
343	28333	54030
344	28415	53947
345	28540	53947
346	28659	53932
347	28743	53853
348	28826	53770
349	28923	53714
350	29012	53644
351	29088	53548
352	29182	53487
353	29256	53389
354	29321	53275
355	29400	53184
356	29470	53080
357	29547	52988
358	29650	52940
359	29735	52863
360	29823	52790
361	29898	52694
362	29984	52618
363	30076	52550
364	30155	52462
365	30233	52372
366	30304	52268
367	30387	52186
368	30462	52092
369	30542	52004
370	30629	51929
371	30765	51937
372	30849	51856
373	30929	51768
374	31013	51689
375	31092	51599
376	31173	51515
377	31261	51440
378	31360	51384
379	31470	51345
380	31587	51318
381	31673	51241
382	31779	51195
383	31859	51107
384	31943	51026
385	32027	50945
386	32115	50870
387	32198	50787
388	32281	50704
389	32365	50623
390	32453	50548
391	32536	50464
392	32617	50378
393	32695	50287
394	32808	50250
395	32890	50166
396	32973	50083
397	33061	50008
398	33144	49924
399	33225	49837
400	33310	49758
401	33381	49657
402	33468	49580
403	33548	49492
404	33623	49397
405	33699	49304
406	33773	49207
407	33876	49153
408	33945	49050
409	34035	48978
410	34118	48895
411	34198	48806
412	34287	48733
413	34361	48637
414	34443	48552
415	34532	48477
416	34613	48393
417	34701	48316
418	34777	48224
419	34890	48182
420	34971	48095
421	35041	47995
422	35124	47912
423	35221	47847
424	35301	47761
425	35380	47672
426	35456	47579
427	35553	47515
428	35623	47415
429	35701	47324
430	35778	47233
431	35861	47151
432	36010	47154
433	36104	47085
434	36169	46979
435	36267	46914
436	36355	46838
437	36448	46766
438	36526	46677
439	36604	46588
440	36694	46512
441	36775	46426
442	36852	46335
443	36933	46250
444	37033	46187
445	37116	46103
446	37199	46021
447	37276	45930
448	37354	45840
449	37439	45759
450	37521	45674
451	37603	45589
452	37684	45503
453	37760	45412
454	37845	45331
455	37939	45261
456	38051	45212
457	38146	45142
458	38225	45054
459	38311	44973
460	38397	44894
461	38488	44819
462	38567	44731
463	38646	44643
464	38726	44556
465	38809	44472
466	38894	44390
467	38981	44311
468	39085	44252
469	39167	44167
470	39244	44076
471	39328	43994
472	39411	43910
473	39486	43817
474	39581	43748
475	39678	43679
476	39763	43597
477	39848	43517
478	39937	43439
479	40027	43362
480	40167	43340
481	40254	43260
482	40339	43178
483	40423	43096
484	40484	42988
485	40575	42913
486	40653	42824
487	40737	42741
488	40834	42672
489	40923	42593
490	41018	42521
491	41102	42439
492	41206	42376
493	41286	42289
494	41365	42201
495	41445	42114
496	41523	42025
497	41600	41934
498	41690	41857
499	41774	41774
500	41851	41684
501	41924	41590
502	42017	41516
503	42093	41425
504	42180	41344
505	42273	41270
506	42361	41192
507	42451	41114
508	42547	41042
509	42637	40965
510	42730	40890
