iter	Passed	Remaining
0	83	83823
1	186	92851
2	282	94010
3	361	90079
4	465	92604
5	548	90938
6	625	88742
7	689	85449
8	772	85092
9	857	84847
10	929	83526
11	1010	83209
12	1089	82685
13	1118	78791
14	1193	78359
15	1286	79094
16	1361	78736
17	1438	78500
18	1510	77982
19	1575	77212
20	1659	77368
21	1737	77247
22	1799	76442
23	1881	76528
24	1944	75826
25	2018	75617
26	2095	75510
27	2148	74596
28	2182	73079
29	2280	73724
30	2371	74113
31	2459	74402
32	2533	74245
33	2620	74461
34	2698	74396
35	2769	74158
36	2852	74254
37	2937	74371
38	3020	74435
39	3099	74387
40	3177	74324
41	3266	74508
42	3358	74750
43	3376	73354
44	3450	73232
45	3532	73266
46	3613	73268
47	3682	73031
48	3763	73048
49	3840	72973
50	3922	72981
51	4003	72989
52	4078	72871
53	4149	72688
54	4228	72651
55	4365	73596
56	4449	73617
57	4531	73598
58	4609	73524
59	4688	73457
60	4769	73414
61	4849	73367
62	4931	73340
63	4985	72908
64	5060	72790
65	5151	72896
66	5237	72928
67	5308	72751
68	5397	72822
69	5482	72834
70	5558	72730
71	5651	72835
72	5734	72821
73	5815	72776
74	5902	72792
75	5988	72810
76	6065	72703
77	6137	72553
78	6232	72665
79	6322	72713
80	6426	72916
81	6518	72972
82	6606	72988
83	6679	72841
84	6757	72743
85	6828	72571
86	6896	72376
87	7003	72580
88	7085	72527
89	7172	72523
90	7236	72282
91	7310	72146
92	7381	71992
93	7473	72027
94	7545	71884
95	7626	71817
96	7676	71465
97	7755	71377
98	7838	71336
99	7926	71338
100	8008	71287
101	8091	71239
102	8165	71113
103	8243	71019
104	8312	70853
105	8397	70827
106	8497	70920
107	8573	70814
108	8658	70776
109	8751	70810
110	8834	70757
111	8913	70673
112	9001	70660
113	9072	70510
114	9148	70406
115	9231	70351
116	9303	70216
117	9386	70161
118	9467	70090
119	9565	70149
120	9638	70017
121	9711	69891
122	9788	69795
123	9867	69705
124	9944	69612
125	10024	69532
126	10111	69507
127	10196	69463
128	10273	69365
129	10360	69338
130	10444	69281
131	10554	69404
132	10643	69379
133	10721	69288
134	10811	69273
135	10883	69140
136	10946	68954
137	11041	68972
138	11115	68850
139	11189	68734
140	11278	68709
141	11359	68637
142	11440	68565
143	11534	68564
144	11660	68754
145	11745	68701
146	11833	68664
147	11910	68567
148	11998	68528
149	12078	68442
150	12152	68328
151	12228	68223
152	12312	68163
153	12404	68143
154	12483	68053
155	12573	68027
156	12673	68047
157	12752	67957
158	12834	67886
159	12916	67813
160	12992	67707
161	13075	67637
162	13152	67536
163	13238	67481
164	13313	67375
165	13392	67286
166	13471	67197
167	13558	67145
168	13639	67066
169	13739	67082
170	13812	66962
171	13896	66898
172	13969	66780
173	14046	66678
174	14133	66627
175	14220	66576
176	14301	66499
177	14381	66411
178	14473	66384
179	14570	66374
180	14647	66278
