iter	RMSE
0	194263.5023
1	189382.0279
2	184358.8376
3	179628.6532
4	174947.9679
5	170468.0908
6	165998.9045
7	161672.0353
8	157493.2782
9	153438.5891
10	149574.3769
11	145997.1735
12	142174.2192
13	138647.5871
14	135129.43
15	131913.8646
16	128847.3548
17	125649.3588
18	122621.0629
19	119580.0895
20	116724.1198
21	113964.1763
22	111306.2966
23	108752.1503
24	106202.8279
25	103690.1697
26	101180.4031
27	98923.10941
28	96627.5248
29	94465.41304
30	92313.85234
31	90190.82767
32	88186.12138
33	86299.42488
34	84507.99488
35	82710.79279
36	80965.05432
37	79252.18515
38	77642.67396
39	76040.81934
40	74476.21218
41	72981.6236
42	71502.70214
43	70128.79636
44	68794.10435
45	67428.96933
46	66264.8081
47	65029.33604
48	63753.83788
49	62608.38452
50	61486.79658
51	60391.34602
52	59252.73732
53	58186.60482
54	57266.85027
55	56318.01054
56	55420.86843
57	54509.94461
58	53653.83955
59	52738.12378
60	51904.94726
61	51067.36847
62	50301.6709
63	49554.69948
64	48851.60759
65	48122.45723
66	47451.1699
67	46813.83953
68	46163.02961
69	45556.81118
70	44903.05092
71	44309.81805
72	43686.74016
73	43114.50575
74	42586.7052
75	41975.53117
76	41455.28944
77	40906.70915
78	40369.85173
79	39821.61435
80	39345.57003
81	38946.84385
82	38546.6138
83	38110.70436
84	37609.11486
85	37132.85502
86	36772.55585
87	36415.45495
88	36068.83207
89	35736.52048
90	35390.8398
91	35065.02831
92	34756.39685
93	34441.25787
94	34128.42826
95	33805.73621
96	33577.89335
97	33266.10569
98	32994.83149
99	32759.99603
100	32494.20229
101	32254.49619
102	32022.33096
103	31761.68083
104	31531.141
105	31337.08831
106	31089.7082
107	30899.7674
108	30706.76179
109	30488.90105
110	30267.94392
111	30053.9728
112	29863.58217
113	29690.77058
114	29501.80227
115	29332.41864
116	29147.69243
117	29004.99942
118	28816.71481
119	28650.51398
120	28483.93278
121	28322.53332
122	28205.68349
123	28100.16809
124	27982.3455
125	27831.88121
126	27666.6392
127	27560.34316
128	27405.25575
129	27235.04375
130	27119.96662
131	26997.15339
132	26909.4161
133	26808.83851
134	26688.82736
135	26563.07387
136	26464.72339
137	26388.91648
138	26300.81895
139	26188.94155
140	26097.16488
141	25976.54204
142	25890.38412
143	25777.26483
144	25689.73419
145	25553.7986
146	25431.09332
147	25324.12292
148	25245.85423
149	25138.06098
150	25035.94008
151	24942.73013
152	24831.51718
153	24759.09316
154	24684.74929
155	24602.49582
156	24558.52936
157	24472.32464
158	24388.94
159	24313.09578
160	24238.41233
161	24148.90195
162	24083.18083
163	24043.92429
164	23961.50596
165	23897.44998
166	23799.06858
167	23732.916
168	23678.72231
169	23629.4867
170	23590.99531
171	23495.64452
172	23427.47649
173	23378.88416
174	23300.40817
175	23229.05303
176	23151.88111
177	23117.08945
178	23050.99925
