iter	Passed	Remaining
0	78	77953
1	157	78800
2	235	78389
3	315	78595
4	399	79497
5	472	78272
6	535	76009
7	651	80794
8	727	80059
9	799	79121
10	803	72238
11	890	73314
12	939	71356
13	1022	71993
14	1109	72860
15	1177	72388
16	1263	73043
17	1341	73185
18	1417	73171
19	1454	71272
20	1527	71222
21	1600	71163
22	1671	71001
23	1762	71684
24	1831	71431
25	1928	72250
26	1956	70507
27	2039	70797
28	2104	70470
29	2193	70915
30	2266	70844
31	2346	70974
32	2434	71343
33	2503	71125
34	2577	71056
35	2670	71510
36	2748	71536
37	2825	71541
38	2912	71754
39	2986	71682
40	3064	71675
41	3152	71916
42	3197	71173
43	3280	71268
44	3357	71245
45	3436	71262
46	3514	71271
47	3591	71236
48	3666	71164
49	3757	71396
50	3821	71115
51	3913	71348
52	4003	71529
53	4091	71672
54	4165	71571
55	4238	71441
56	4333	71686
57	4407	71579
58	4455	71063
59	4529	70967
60	4606	70910
61	4688	70928
62	4763	70840
63	4852	70963
64	4948	71184
65	4983	70526
66	5057	70431
67	5133	70363
68	5216	70381
69	5307	70508
70	5376	70346
71	5459	70361
72	5534	70286
73	5612	70235
74	5681	70075
75	5777	70244
76	5856	70196
77	5942	70244
78	6085	70944
79	6173	70993
80	6266	71095
81	6330	70872
82	6418	70911
83	6496	70847
84	6574	70773
85	6661	70801
86	6749	70826
87	6833	70815
88	6911	70750
89	7001	70789
90	7086	70782
91	7167	70741
92	7251	70725
93	7341	70763
94	7417	70660
95	7491	70543
96	7572	70491
97	7654	70451
98	7741	70453
99	7824	70424
100	7904	70354
101	7999	70427
102	8092	70478
103	8112	69894
104	8192	69834
105	8287	69893
106	8367	69832
107	8449	69788
108	8530	69731
109	8610	69670
110	8690	69604
111	8763	69483
112	8843	69415
113	8936	69454
114	9021	69423
115	9112	69443
116	9198	69423
117	9273	69312
118	9346	69198
119	9422	69101
120	9512	69102
121	9606	69135
122	9674	68980
123	9750	68885
124	9828	68799
125	9888	68591
126	9960	68467
127	10049	68461
128	10153	68556
129	10249	68591
130	10309	68386
131	10387	68307
132	10467	68233
133	10561	68255
134	10645	68207
135	10731	68175
136	10807	68080
137	10883	67980
138	10958	67882
139	11061	67950
140	11147	67914
141	11236	67894
142	11312	67794
143	11390	67710
144	11468	67627
145	11543	67521
146	11626	67465
147	11706	67394
148	11782	67291
149	11853	67169
150	11940	67133
151	12033	67131
152	12114	67064
153	12203	67041
154	12277	66932
155	12358	66862
156	12444	66821
157	12537	66815
158	12622	66766
159	12704	66700
160	12787	66636
161	12862	66535
162	12946	66478
163	13021	66376
164	13097	66280
165	13236	66503
166	13314	66410
167	13363	66179
168	13467	66223
169	13534	66082
170	13610	65985
171	13683	65870
172	13791	65929
173	13875	65867
174	13955	65788
175	14034	65708
176	14126	65683
177	14190	65530
178	14277	65484
179	14366	65446
180	14447	65372
181	14528	65297
182	14613	65243
183	14693	65163
184	14767	65055
185	14831	64909
186	14893	64752
187	14981	64705
188	15071	64669
189	15156	64614
190	15235	64530
191	15315	64453
192	15400	64395
193	15478	64309
194	15560	64235
195	15644	64174
196	15725	64097
197	15805	64021
198	15895	63981
199	15977	63908
200	16030	63724
201	16116	63668
202	16209	63640
203	16306	63626
204	16392	63571
205	16479	63519
206	16569	63475
207	16656	63421
208	16739	63352
209	16819	63274
210	16898	63188
211	16988	63146
212	17027	62912
213	17105	62827
214	17185	62745
215	17257	62638
216	17348	62596
217	17421	62495
218	17508	62438
219	17591	62369
220	17675	62302
221	17768	62269
222	17840	62162
223	17909	62043
224	17990	61967
225	18065	61869
226	18148	61801
227	18227	61717
228	18305	61631
229	18394	61581
230	18469	61484
231	18583	61517
232	18604	61243
233	18680	61149
234	18758	61064
235	18843	61000
236	18935	60959
237	19015	60881
238	19092	60791
239	19123	60556
240	19150	60312
241	19229	60232
242	19306	60142
243	19403	60118
244	19488	60057
245	19572	59991
246	19651	59909
247	19715	59783
248	19786	59677
249	19874	59624
250	19950	59533
251	20047	59507
252	20131	59440
253	20225	59402
254	20277	59241
255	20356	59159
256	20490	59238
257	20572	59164
258	20641	59054
259	20727	58994
260	20812	58929
261	20894	58854
262	20972	58769
263	21049	58684
264	21132	58613
265	21226	58571
266	21304	58488
267	21381	58399
268	21450	58291
269	21551	58269
270	21625	58173
271	21711	58109
272	21796	58043
273	21884	57986
274	21970	57922
275	22047	57834
276	22139	57787
277	22211	57686
278	22290	57604
279	22368	57517
280	22442	57424
281	22540	57391
282	22621	57313
283	22703	57238
284	22778	57147
285	22850	57046
286	22933	56973
287	23001	56864
288	23081	56784
289	23174	56737
290	23244	56633
