iter	RMSE
0	191961.4289
1	186893.6788
2	182152.5121
3	177678.0856
4	173113.9747
5	168649.7459
6	164338.7767
7	160103.8706
8	156070.5982
9	152035.6629
10	148150.2807
11	144528.3321
12	140915.5385
13	137506.0148
14	134029.039
15	130788.1343
16	127559.9413
17	124558.1816
18	121470.0059
19	118849.6852
20	115986.1885
21	113335.5165
22	110693.4271
23	108210.9669
24	105697.7881
25	103350.494
26	100966.8062
27	98679.87987
28	96460.99389
29	94373.53613
30	92368.92612
31	90265.07069
32	88405.8692
33	86461.52645
34	84638.92749
35	82857.08718
36	81088.82912
37	79448.60576
38	77792.09504
39	76347.14352
40	74797.29263
41	73338.05121
42	71930.58511
43	70446.89418
44	69077.14148
45	67681.35979
46	66447.71593
47	65119.96514
48	63850.27678
49	62618.96712
50	61541.18023
51	60427.25678
52	59367.12989
53	58349.95152
54	57342.21374
55	56365.84369
56	55407.81006
57	54467.5276
58	53618.47261
59	52756.53404
60	51907.69038
61	51114.85837
62	50418.80313
63	49708.02754
64	48957.77084
65	48165.38529
66	47456.36262
67	46723.54404
68	46090.21595
69	45402.66864
70	44749.80243
71	44065.31018
72	43538.23717
73	42901.58148
74	42381.61067
75	41785.31849
76	41288.44125
77	40765.08244
78	40312.23005
79	39812.95133
80	39361.09653
81	38901.62421
82	38444.95201
83	38007.0191
84	37614.75947
85	37155.44024
86	36773.40398
87	36397.99912
88	36023.96364
89	35727.28552
90	35345.17487
91	34978.29543
92	34661.16486
93	34279.21052
94	33969.50954
95	33682.1867
96	33372.33097
97	33060.99095
98	32731.25748
99	32377.96887
100	32072.26229
101	31782.1756
102	31536.9879
103	31239.66965
104	30980.1179
105	30709.91969
106	30476.15
107	30255.24241
108	29998.44117
109	29801.49837
110	29640.57122
111	29410.6231
112	29221.5938
113	28994.07298
114	28777.16339
115	28584.1469
116	28357.67051
117	28219.64995
118	28051.16232
119	27887.01649
120	27676.62029
121	27546.04547
122	27380.74057
123	27232.26628
124	27028.54633
125	26852.26395
126	26737.21126
127	26594.51865
128	26451.72653
129	26328.75371
130	26163.46241
131	26025.28502
132	25903.70752
133	25748.36172
134	25643.02722
135	25544.85975
136	25430.85327
137	25335.36912
138	25185.98515
139	25080.82423
140	24933.39484
141	24834.52467
142	24722.83879
143	24617.46377
144	24505.49232
145	24451.91236
146	24373.16408
147	24254.34088
148	24142.24432
149	24022.10921
150	23914.55236
151	23808.8327
152	23717.56444
153	23615.87442
154	23530.25036
155	23463.97157
156	23384.86154
157	23308.87432
158	23235.93064
159	23185.78015
160	23112.69424
161	23030.11618
162	22969.27919
163	22891.1042
164	22841.51044
165	22738.99015
166	22662.96926
167	22605.55405
168	22518.9682
169	22460.22251
170	22392.21559
171	22342.22208
172	22272.66694
173	22202.22558
174	22120.55353
175	22085.89052
176	22037.33314
177	21979.53142
178	21899.16758
179	21808.29804
180	21761.19912
181	21709.70933
182	21641.10994
183	21574.89237
184	21507.04946
185	21467.70592
186	21409.89442
187	21341.09127
188	21286.05101
189	21210.68933
190	21162.13079
191	21100.79378
192	21042.89671
193	20997.78224
194	20985.80322
195	20928.67058
196	20851.59944
197	20772.79873
198	20743.54872
199	20694.75492
200	20629.18483
201	20569.97641
202	20529.76146
203	20483.36726
204	20430.24826
205	20362.96429
206	20301.02304
207	20253.32376
208	20213.56961
209	20184.36286
210	20151.10248
211	20113.59111
212	20071.90334
213	20063.92892
214	19988.11959
215	19908.34345
216	19874.14021
217	19820.68307
218	19754.25476
219	19715.30458
220	19677.28582
221	19615.43071
222	19587.89351
223	19546.72418
224	19529.23305
225	19495.44255
226	19449.3729
227	19396.39023
228	19348.63961
229	19294.08076
230	19244.64847
231	19184.84546
232	19144.14906
233	19098.26691
234	19021.43327
235	18986.82085
236	18949.53821
237	18894.64703
238	18855.74521
239	18818.24906
240	18796.62834
241	18742.24245
242	18705.82762
243	18674.31752
244	18639.38469
245	18606.00125
246	18574.72993
247	18540.29965
248	18477.313
249	18448.70623
250	18416.04718
251	18397.27239
252	18364.86145
253	18317.45775
254	18277.63753
255	18244.67254
256	18210.73124
257	18183.29188
258	18157.07711
259	18106.69511
260	18046.6447
261	18018.06019
262	17970.52363
263	17943.46509
264	17923.0219
265	17884.48484
266	17855.80701
267	17833.06001
268	17792.32201
269	17752.70119
270	17717.31128
271	17688.95731
272	17646.94187
273	17604.65041
274	17574.17643
275	17543.73905
276	17510.69185
277	17472.10696
278	17431.45083
279	17409.39913
280	17395.63461
281	17367.55196
282	17331.86052
