iter	Passed	Remaining
0	137	137707
1	219	109631
2	312	103806
3	398	99107
4	478	95299
5	552	91596
6	632	89658
7	719	89237
8	802	88398
9	873	86469
10	940	84546
11	1021	84081
12	1109	84260
13	1175	82757
14	1252	82266
15	1326	81564
16	1406	81301
17	1491	81375
18	1565	80819
19	1650	80893
20	1740	81130
21	1796	79844
22	1877	79745
23	1953	79437
24	1971	76897
25	2038	76359
26	2114	76217
27	2162	75059
28	2242	75071
29	2312	74786
30	2363	73869
31	2441	73850
32	2487	72884
33	2562	72806
34	2647	72997
35	2721	72871
36	2808	73092
37	2887	73106
38	2968	73150
39	3010	72246
40	3072	71858
41	3152	71915
42	3232	71936
43	3316	72048
44	3369	71511
45	3436	71261
46	3486	70692
47	3570	70815
48	3659	71019
49	3736	70990
50	3812	70940
51	3891	70945
52	3976	71052
53	4049	70948
54	4120	70799
55	4185	70550
56	4264	70545
57	4343	70552
58	4421	70514
59	4485	70268
60	4566	70297
61	4628	70018
62	4697	69861
63	4744	69394
64	4826	69428
65	4915	69556
66	5004	69685
67	5061	69367
68	5134	69279
69	5230	69490
70	5276	69037
71	5352	68984
72	5427	68917
73	5475	68519
74	5553	68487
75	5632	68482
76	5712	68476
77	5802	68589
78	5877	68524
79	5955	68492
80	6039	68518
81	6117	68491
82	6207	68585
83	6286	68549
84	6363	68496
85	6446	68517
86	6530	68535
87	6609	68502
88	6692	68505
89	6782	68582
90	6863	68559
91	6941	68507
92	7019	68459
93	7109	68520
94	7196	68560
95	7275	68508
96	7349	68415
97	7426	68354
98	7507	68324
99	7583	68248
100	7661	68192
101	7700	67793
102	7773	67700
103	7855	67682
104	7938	67670
105	8017	67621
106	8107	67664
107	8192	67665
108	8273	67632
109	8361	67653
110	8447	67656
111	8528	67617
112	8617	67640
113	8711	67704
114	8797	67698
115	8879	67669
116	8959	67614
117	9056	67695
118	9146	67714
119	9237	67739
120	9312	67646
121	9397	67634
122	9484	67622
123	9559	67532
124	9650	67556
125	9728	67483
126	9813	67457
127	9898	67431
128	9975	67356
129	10066	67369
130	10150	67332
131	10233	67293
132	10282	67031
133	10360	66957
134	10435	66864
135	10513	66789
136	10594	66740
137	10673	66672
138	10758	66637
139	10835	66559
140	10928	66578
141	11006	66504
142	11094	66489
143	11171	66410
144	11263	66415
145	11349	66385
146	11426	66302
147	11518	66309
148	11612	66323
149	11698	66291
150	11784	66259
151	11864	66193
152	11952	66171
153	12046	66175
154	12122	66088
155	12198	65999
156	12290	65990
157	12368	65911
158	12443	65818
159	12529	65781
160	12613	65733
161	12698	65689
162	12780	65627
163	12865	65583
164	12951	65543
165	13031	65472
166	13112	65406
167	13193	65339
168	13211	64964
169	13296	64916
170	13375	64844
171	13465	64820
172	13548	64766
173	13634	64726
174	13715	64656
175	13801	64615
176	13883	64555
177	13976	64544
178	14055	64466
179	14080	64143
180	14154	64049
181	14234	63979
182	14314	63907
183	14395	63842
184	14478	63782
185	14564	63739
186	14653	63709
187	14742	63677
188	14824	63611
189	14903	63534
190	14986	63478
191	15073	63435
192	15149	63344
193	15234	63295
194	15312	63212
195	15392	63141
196	15472	63068
197	15559	63024
198	15646	62980
199	15734	62938
200	15816	62872
201	15906	62837
202	15974	62715
203	16049	62623
204	16131	62557
205	16228	62550
206	16306	62467
207	16398	62439
208	16483	62384
209	16560	62299
210	16632	62195
211	16718	62143
212	16751	61893
213	16831	61819
214	16907	61731
215	16989	61665
216	17059	61555
217	17165	61574
218	17242	61489
219	17313	61382
220	17397	61323
221	17480	61259
222	17564	61201
223	17641	61116
224	17675	60882
225	17756	60811
226	17839	60747
227	17923	60686
228	17992	60577
229	18071	60501
230	18120	60323
231	18205	60267
232	18290	60209
233	18372	60143
234	18456	60080
235	18525	59973
236	18599	59879
237	18674	59791
238	18761	59738
239	18843	59671
240	18936	59638
241	19011	59548
242	19066	59397
243	19145	59320
244	19230	59261
245	19299	59155
246	19377	59073
247	19460	59010
248	19542	58940
249	19630	58892
250	19692	58762
251	19772	58688
252	19850	58609
253	19938	58560
254	20029	58518
255	20111	58447
256	20198	58395
257	20280	58326
258	20367	58270
259	20445	58191
260	20526	58117
261	20612	58062
262	20690	57980
263	20764	57888
264	20836	57791
265	20883	57625
266	20955	57528
267	21043	57476
268	21120	57394
269	21211	57348
270	21287	57264
271	21364	57181
272	21439	57092
273	21520	57022
274	21610	56974
275	21692	56902
276	21773	56830
277	21846	56738
278	21927	56665
279	22005	56586
280	22085	56511
281	22176	56462
282	22266	56414
283	22335	56309
284	22408	56218
285	22493	56154
286	22581	56099
287	22665	56034
288	22741	55947
289	22823	55878
290	22863	55704
291	22948	55641
292	23060	55643
293	23118	55515
294	23214	55479
295	23301	55420
296	23381	55343
297	23457	55258
298	23537	55182
299	23612	55095
300	23682	54997
301	23744	54880
302	23817	54788
303	23896	54711
304	23971	54623
305	24047	54539
306	24123	54454
307	24208	54391
308	24288	54315
309	24364	54229
310	24441	54147
311	24535	54103
312	24619	54037
313	24684	53927
314	24772	53870
315	24869	53831
316	24948	53753
317	25024	53669
318	25105	53595
319	25184	53517
320	25259	53430
321	25332	53339
322	25408	53255
323	25497	53198
324	25575	53119
325	25663	53058
326	25739	52974
327	25824	52908
328	25905	52833
329	25981	52749
330	26048	52647
331	26157	52630
332	26232	52543
333	26313	52468
334	26387	52380
335	26471	52311
336	26551	52236
337	26625	52147
338	26706	52074
339	26795	52015
340	26882	51951
341	26967	51885
342	27047	51807
343	27126	51728
344	27200	51642
345	27287	51578
346	27366	51498
347	27450	51430
348	27536	51364
349	27616	51288
350	27700	51219
351	27779	51140
352	27860	51064
353	27931	50971
354	28011	50894
355	28098	50830
356	28177	50751
357	28250	50661
358	28344	50609
359	28427	50537
360	28501	50449
361	28582	50374
362	28654	50283
363	28742	50220
364	28818	50136
365	28901	50065
366	28976	49978
367	29054	49897
368	29135	49821
369	29225	49761
370	29301	49677
371	29378	49595
372	29463	49527
373	29556	49471
374	29641	49402
375	29727	49334
376	29798	49243
377	29882	49172
378	29964	49098
379	30046	49022
380	30119	48933
381	30205	48866
382	30294	48803
383	30372	48723
384	30462	48660
385	30542	48583
386	30623	48507
387	30708	48437
388	30796	48371
389	30875	48292
390	30980	48253
391	31045	48152
392	31119	48064
393	31203	47993
394	31277	47905
395	31343	47806
396	31442	47757
397	31517	47671
398	31594	47589
399	31686	47529
400	31768	47455
401	31854	47385
402	31931	47303
403	32016	47232
404	32100	47160
405	32177	47077
406	32273	47021
407	32349	46938
408	32430	46861
409	32503	46773
410	32596	46713
411	32677	46637
412	32752	46551
413	32843	46488
414	32909	46390
415	33008	46338
416	33098	46274
417	33170	46184
418	33245	46099
419	33320	46013
420	33391	45923
421	33472	45846
422	33551	45767
423	33637	45695
424	33717	45617
425	33797	45539
426	33874	45456
427	33949	45372
428	34016	45275
429	34095	45195
430	34187	45133
431	34273	45063
432	34354	44986
433	34446	44922
434	34534	44855
435	34603	44762
436	34684	44685
437	34776	44621
438	34843	44526
439	34928	44454
440	35017	44387
441	35088	44297
442	35187	44243
443	35268	44165
444	35369	44111
445	35452	44037
446	35534	43961
447	35616	43885
448	35706	43817
449	35782	43734
450	35867	43661
451	35946	43581
452	36031	43508
453	36104	43420
454	36181	43338
455	36276	43277
456	36354	43196
457	36426	43107
458	36519	43043
459	36603	42969
460	36682	42888
461	36762	42810
462	36875	42769
463	36947	42681
464	37041	42618
465	37116	42533
466	37207	42466
467	37279	42377
468	37359	42297
469	37439	42218
470	37520	42141
471	37615	42078
472	37691	41994
473	37761	41904
474	37834	41817
475	37906	41729
476	37993	41657
477	38070	41575
478	38182	41530
479	38262	41450
480	38342	41371
481	38422	41291
482	38504	41215
483	38580	41130
484	38661	41052
485	38746	40978
486	38829	40902
487	38898	40811
488	38975	40729
489	39048	40642
490	39137	40572
491	39213	40489
492	39300	40416
493	39394	40351
494	39480	40277
495	39559	40197
496	39637	40115
497	39726	40045
498	39807	39967
499	39885	39885
500	39949	39789
501	40112	39793
502	40182	39703
503	40277	39638
504	40351	39552
505	40452	39492
506	40530	39411
507	40595	39316
508	40677	39239
509	40763	39164
510	40837	39078
511	40932	39013
512	41008	38930
513	41080	38842
514	41201	38801
515	41292	38731
516	41368	38647
517	41442	38562
518	41532	38491
519	41610	38409
520	41697	38335
521	41769	38248
522	41848	38167
523	41963	38119
524	42042	38038
525	42127	37962
526	42203	37879
527	42287	37802
528	42381	37734
529	42467	37659
530	42546	37578
531	42628	37500
532	42717	37427
533	42795	37346
534	42871	37262
535	42960	37189
536	43035	37105
537	43125	37033
538	43196	36945
539	43281	36869
540	43372	36798
541	43454	36719
542	43538	36642
543	43619	36563
544	43708	36490
545	43784	36406
546	43849	36314
