iter	RMSE
0	191655.8001
1	186713.9214
2	181915.6296
3	177191.5354
4	172615.0565
5	168135.7389
6	163820.6852
7	159465.1758
8	155274.4482
9	151269.6001
10	147436.127
11	143682.244
12	139969.6934
13	136459.6295
14	133093.3261
15	129842.4951
16	126506.0114
17	123460.9931
18	120442.5717
19	117479.5117
20	114581.7506
21	111790.0715
22	109165.7884
23	106537.4346
24	104058.7693
25	101535.1282
26	99070.12374
27	96731.2874
28	94495.73584
29	92364.3882
30	90157.3815
31	88083.70886
32	86068.50659
33	84178.74649
34	82306.0256
35	80510.62059
36	78712.8464
37	77071.15336
38	75304.11213
39	73825.26088
40	72211.14182
41	70794.61235
42	69392.92153
43	68116.25014
44	66777.10909
45	65467.35104
46	64267.33298
47	63025.86854
48	61883.006
49	60678.16115
50	59548.98318
51	58489.68922
52	57379.44225
53	56413.28592
54	55460.02415
55	54493.70832
56	53547.34203
57	52699.49002
58	51814.09562
59	50923.72774
60	50085.00099
61	49227.88082
62	48470.19369
63	47747.0314
64	46972.12876
65	46378.48651
66	45680.29881
67	45099.83038
68	44485.20675
69	43843.60354
70	43276.1173
71	42626.84587
72	42093.84149
73	41603.26836
74	41084.39772
75	40608.60938
76	40140.52337
77	39688.48041
78	39279.29943
79	38817.83596
80	38374.33545
81	37936.79088
82	37510.70077
83	37082.61138
84	36687.1751
85	36310.8958
86	35932.05518
87	35578.05768
88	35309.3306
89	34952.54008
90	34660.38251
91	34384.24017
92	34062.95581
93	33749.3009
94	33474.70676
95	33223.2062
96	32936.79235
97	32687.69926
98	32420.143
99	32157.43566
100	31925.04776
101	31699.44527
102	31420.8471
103	31125.86185
104	30942.20993
105	30729.11055
106	30497.9051
107	30300.32748
108	30094.05988
109	29922.19771
110	29754.61236
111	29570.6821
112	29379.09508
113	29218.34014
114	29083.3484
115	28895.22239
116	28706.05515
117	28582.41271
118	28442.09435
119	28279.1161
120	28169.55569
121	28061.06268
122	27924.98738
123	27798.0367
124	27656.55918
125	27510.01754
126	27389.2886
127	27279.03228
128	27152.03445
129	27004.494
130	26893.00475
131	26791.445
132	26708.2963
133	26557.31045
134	26429.15863
135	26324.31083
136	26194.89256
137	26080.19474
138	25962.94523
139	25842.53221
140	25758.5899
141	25639.10327
142	25531.87685
143	25425.65037
144	25308.27987
145	25209.13506
146	25110.23751
147	25015.86408
148	24951.71428
149	24835.94175
150	24743.85561
151	24671.52121
152	24575.82286
153	24511.91972
154	24435.44003
155	24372.34676
156	24281.32041
157	24203.63928
158	24141.97215
159	24057.41648
160	24002.27223
161	23922.44438
162	23808.8565
163	23767.2287
164	23679.91073
165	23595.15342
166	23500.88873
167	23419.37211
168	23401.25602
169	23320.17531
170	23266.01294
171	23165.52919
172	23097.62656
173	23034.68802
174	22948.24933
175	22883.88336
176	22818.22042
177	22741.56326
178	22702.33268
179	22687.90625
180	22622.17868
181	22554.13408
182	22498.27905
183	22431.89068
184	22387.26834
185	22324.66803
186	22299.83003
187	22252.56189
188	22188.9301
189	22127.42698
190	22105.19706
191	22072.77478
192	22029.40015
193	21995.885
194	21941.72721
195	21906.41103
196	21883.38575
197	21820.812
198	21757.20291
199	21710.02033
200	21665.9476
201	21624.85781
202	21601.12585
203	21554.54839
204	21503.53073
205	21457.93943
206	21423.6847
207	21345.50447
208	21330.3795
209	21276.75535
210	21227.38711
211	21198.29702
212	21187.22398
213	21135.26178
214	21110.6474
215	21072.96891
216	21018.49009
217	20982.49021
218	20948.19118
219	20895.31251
220	20875.00894
221	20839.80827
222	20802.46655
223	20756.06131
224	20743.91354
225	20704.61132
226	20679.56821
227	20620.64325
228	20567.71118
229	20549.94503
230	20530.75782
231	20520.50167
232	20505.63225
233	20481.25954
234	20468.77807
235	20448.39626
236	20434.58248
237	20395.49754
238	20382.20275
239	20337.20393
240	20301.80292
241	20252.70286
242	20219.96168
243	20163.56117
244	20123.4552
245	20075.52583
246	20032.10666
247	20001.13742
248	19971.36063
249	19946.63658
250	19920.90946
251	19894.66761
252	19869.2695
253	19809.54052
254	19776.90813
255	19747.39591
256	19735.05898
257	19698.61183
258	19657.61085
259	19615.9285
260	19574.9762
261	19531.02383
262	19476.81049
263	19425.24739
264	19403.85415
265	19381.07726
266	19331.20987
267	19309.29432
268	19257.20395
269	19228.25528
270	19203.96076
271	19189.32719
272	19177.23241
273	19138.38898
274	19095.34401
275	19084.41107
276	19066.88991
277	19038.93305
278	19013.06489
279	18985.55847
280	18966.63679
281	18937.88706
282	18901.07008
283	18880.97692
284	18871.7325
285	18835.10901
286	18804.37714
287	18779.32827
288	18765.66894
289	18742.29453
290	18725.50106
291	18693.35947
292	18688.19815
293	18674.30056
294	18652.91064
295	18612.5306
296	18606.50106
297	18556.86782
298	18507.96957
299	18495.8311
300	18460.05715
301	18451.41694
302	18417.59988
303	18405.89683
304	18393.48016
305	18385.69874
306	18378.30023
307	18333.27571
308	18325.2676
309	18320.47616
310	18294.99922
311	18250.84839
312	18222.6164
313	18174.27478
314	18115.10938
315	18106.81235
316	18047.92644
317	18017.11132
318	17989.59188
319	17985.0725
320	17950.79927
321	17931.62084
322	17918.05666
323	17869.95304
324	17842.51544
325	17828.52115
326	17785.14126
327	17739.62329
328	17690.18243
329	17670.96195
330	17634.77854
331	17608.60385
332	17555.28168
333	17530.59555
334	17498.63705
335	17487.49921
336	17463.16435
337	17419.18201
338	17393.46095
